Person ID,First name,Last name,Party,Constituency,URI,flastname,firstnamelastname,subdomain,user
10001,Diane,Abbott,Independent,Hackney North and Stoke Newington,https://www.theyworkforyou.com/mp/10001/diane_abbott/hackney_north_and_stoke_newington,dabbott,dianeabbott,https://dabbott.caseworkermp.com,TRUE
26385,Jack,Abbott,Labour/Co-operative,Ipswich,https://www.theyworkforyou.com/mp/26385/jack_abbott/ipswich,jabbott,jackabbott,https://jabbott.caseworkermp.com,TRUE
25034,Debbie,Abrahams,Labour,Oldham East and Saddleworth,https://www.theyworkforyou.com/mp/25034/debbie_abrahams/oldham_east_and_saddleworth,dabrahams,debbieabrahams,https://dabrahams.caseworkermp.com,TRUE
26364,Shockat,Adam,Independent,Leicester South,https://www.theyworkforyou.com/mp/26364/shockat_adam/leicester_south,sadam,shockatadam,https://sadam.caseworkermp.com,TRUE
26483,Zubir,Ahmed,Labour,Glasgow South West,https://www.theyworkforyou.com/mp/26483/zubir_ahmed/glasgow_south_west,zahmed,zubirahmed,https://zahmed.caseworkermp.com,TRUE
26420,Luke,Akehurst,Labour,North Durham,https://www.theyworkforyou.com/mp/26420/luke_akehurst/north_durham,lakehurst,lukeakehurst,https://lakehurst.caseworkermp.com,TRUE
26527,Sadik,Al-Hassan,Labour,North Somerset,https://www.theyworkforyou.com/mp/26527/sadik_al-hassan/north_somerset,salhassan,sadikalhassan,https://salhassan.caseworkermp.com,TRUE
26422,Bayo,Alaba,Labour,Southend East and Rochford,https://www.theyworkforyou.com/mp/26422/bayo_alaba/southend_east_and_rochford,balaba,bayoalaba,https://balaba.caseworkermp.com,TRUE
26453,Dan,Aldridge,Labour,Weston-super-Mare,https://www.theyworkforyou.com/mp/26453/dan_aldridge/weston-super-mare,daldridge,danaldridge,https://daldridge.caseworkermp.com,TRUE
10661,Douglas,Alexander,Labour/Co-operative,Lothian East,https://www.theyworkforyou.com/mp/10661/douglas_alexander/lothian_east,dalexander,douglasalexander,https://dalexander.caseworkermp.com,TRUE
24953,Heidi,Alexander,Labour,Swindon South,https://www.theyworkforyou.com/mp/24953/heidi_alexander/swindon_south,halexander,heidialexander,https://halexander.caseworkermp.com,TRUE
24958,Rushanara,Ali,Labour,Bethnal Green and Stepney,https://www.theyworkforyou.com/mp/24958/rushanara_ali/bethnal_green_and_stepney,rali,rushanaraali,https://rali.caseworkermp.com,TRUE
